No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,ガンプラ,368000,1,152561,63,http://bandai-hobby.net/gunpla/
2,mg,110000,1,19365,60,http://bandai-hobby.net/brand/mg/
3,バンダイ,165000,2,17624,73,http://bandai-hobby.net/
4,ガンプラ 再販,165000,3,11682,27,http://bandai-hobby.net/notice/01_6676/
5,ガンプラ再販,165000,3,11644,29,http://bandai-hobby.net/notice/01_6676/
6,プラモデル,135000,2,10940,42,http://bandai-hobby.net/characterplastic/
7,ガンプラ発売日,22200,1,7806,37,http://bandai-hobby.net/schedule/
8,30mm,27100,1,7775,33,http://bandai-hobby.net/brand/30mm/
9,ぎゃん,27100,1,7775,39,http://bandai-hobby.net/item/01_5952/
10,ホビー,27100,1,7553,70,http://bandai-hobby.net/
11,クシャトリヤ,22200,1,7390,20,http://bandai-hobby.net/item/01_7135/
12,ハイニューガンダム,18100,1,7039,36,http://bandai-hobby.net/item/01_3524/
13,ガンプラ新作,18100,1,7039,51,http://bandai-hobby.net/schedule/
14,ガンプラ 新作,18100,1,6941,51,http://bandai-hobby.net/schedule/
15,かとき,22200,1,6153,37,http://bandai-hobby.net/brand/mgka/
16,ニューガンダム,22200,1,6153,43,http://bandai-hobby.net/site/pgu-rx93/
17,ガンプラ 再販 1月,12100,1,5513,17,http://bandai-hobby.net/schedule/
18,ガンプラ 再販1月,12100,1,5440,17,http://bandai-hobby.net/schedule/
19,ガンプラ 再販 3 月,14800,1,5409,23,http://bandai-hobby.net/schedule/
20,ガンプラ 再販 2 月,12100,1,5366,29,http://bandai-hobby.net/schedule/
21,ガンダムザガン,9900,1,5284,38,http://bandai-hobby.net/item/01_6773/
22,シャア専用ザク,12100,1,5218,34,http://bandai-hobby.net/item/01_2805/
23,ネオジオング,12100,1,5218,23,http://bandai-hobby.net/item/01_132/
24,ガンプラ1月再販,12100,1,5218,19,http://bandai-hobby.net/schedule/
25,ガンプラ再販 1 月,12100,1,5172,19,http://bandai-hobby.net/schedule/
26,ガンプラ 2 月 再販,12100,1,5172,30,http://bandai-hobby.net/schedule/
27,ガンプラ 再販 1 月,12100,1,5172,17,http://bandai-hobby.net/schedule/
28,ガンプラ 2月 再販,12100,1,5172,24,http://bandai-hobby.net/schedule/
29,ヒュウガ,14800,1,5131,40,http://bandai-hobby.net/item/01_5971/
30,mgsd,14800,1,5131,22,http://bandai-hobby.net/brand/mgsd/
