No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,プレミアムバンダイ,823000,1,186501,41,http://p-bandai.jp/
2,ガンプラ,368000,2,71301,63,http://p-bandai.jp/brand/b0001/
3,バンダイ,165000,1,49110,73,http://p-bandai.jp/
4,ウェブ魂,60500,1,22002,48,http://p-bandai.jp/tamashiiwebshouten/
5,プラモデル,135000,1,20111,42,http://p-bandai.jp/category/0037/
6,フィギュア,201000,2,17632,45,http://p-bandai.jp/category/0036/
7,玩具,40500,1,12596,43,http://p-bandai.jp/category/0012/
8,バンダイ プレミアム ガンプラ,27100,1,8235,22,http://p-bandai.jp/hobby/a0001/list-da20-n3/
9,プレミアムバンダイ ガンプラ,27100,1,8234,28,http://p-bandai.jp/hobby/a0001/list-da20-n3/
10,たまごっちグッズ,22200,1,7806,44,http://p-bandai.jp/chara/c0002/
11,ハンターライセンス,27100,1,7783,26,http://p-bandai.jp/item/item-1000252174/
12,ドラゴンボールカード,33100,1,7783,39,http://p-bandai.jp/item/item-1000247915/
13,ドラゴンボール　カード,33100,1,7775,39,http://p-bandai.jp/item/item-1000247915/
14,プレミアム,33100,1,7775,69,http://p-bandai.jp/
15,みみっち,74000,2,7425,21,http://p-bandai.jp/item/item-1000249336/
16,日輪刀,22200,1,7398,21,http://p-bandai.jp/tamashiiwebshouten/a0014/b0023/
17,たまごっちユニ,74000,2,7358,25,http://p-bandai.jp/item/item-1000240796/
18,バンダイプレミアム,18100,1,7354,31,http://p-bandai.jp/
19,魂ウェブ,60500,2,7254,37,http://p-bandai.jp/tamashiiwebshouten/
20,バンダイ プレミアム,18100,1,7200,40,http://p-bandai.jp/
21,グスタフカール,18100,1,7039,35,http://p-bandai.jp/item/item-1000246305/
22,受け継がれる意志,18100,1,7039,20,http://p-bandai.jp/item/item-1000248929/
23,トレーディングカード,33100,1,5950,39,http://p-bandai.jp/category/0028/00280001/
24,mg,110000,3,5468,60,http://p-bandai.jp/brand/b0004/
25,魂ウェブ商店,14800,1,5441,43,http://p-bandai.jp/tamashiiwebshouten/
