No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,トミカ,368000,2,71293,47,http://takaratomymall.jp/shop/c/cTomica/
2,ベイブレードx,246000,1,56211,52,http://takaratomymall.jp/shop/c/cBeyX/
3,モンスターボール,60500,1,17847,17,http://takaratomymall.jp/shop/c/cPmMoncMb_snd/
4,ベイブレード,135000,1,17310,55,http://takaratomymall.jp/shop/c/cBeyX/
5,タカラトミーモール,74000,1,13867,46,http://takaratomymall.jp/shop/
6,プラレール,110000,2,11348,40,http://takaratomymall.jp/shop/c/cPlarail/
7,ベイブレード x,246000,3,11162,49,http://takaratomymall.jp/shop/c/cBeyX/
8,タカラトミー,90500,2,10736,69,http://takaratomymall.jp/shop/
9,ウッディー,74000,2,7425,37,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%82%A4%E3%83%BB%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC,%E3%82%A6%E3%83%83%E3%83%87%E3%82%A3"
10,ビーダマン,27100,1,6190,25,http://takaratomymall.jp/shop/g/g4904810087694/
11,トミカ 新車,90500,3,5421,21,http://takaratomymall.jp/shop/goods/search.aspx?category=Tomica&optionalcategory=RC&release=1&search=true
12,ポケモン おもちゃ,14800,1,5287,43,http://takaratomymall.jp/shop/c/cPokemon/
13,トミカ 収納,9900,1,4764,26,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E5%8F%8E%E7%B4%8D"
14,トランスフォーマー,110000,3,4585,39,http://takaratomymall.jp/shop/c/cTF/
15,オプティマスプライム,14800,1,3172,26,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B9%E3%83%95%E3%82%A9%E3%83%BC%E3%83%9E%E3%83%BC,%E3%82%AA%E3%83%97%E3%83%86%E3%82%A3%E3%83%9E%E3%82%B9%E3%83%97%E3%83%A9%E3%82%A4%E3%83%A0"
16,トランスフォーマーおもちゃ,6600,1,3135,38,http://takaratomymall.jp/shop/c/cTF/
17,トランスフォーマー のおもちゃ,6600,1,3037,40,http://takaratomymall.jp/shop/c/cTF/
18,エアロペガサス,6600,1,2664,23,http://takaratomymall.jp/shop/g/g8202611096528/
19,beyblade,6600,1,2419,65,http://takaratomymall.jp/shop/c/cBeyX/
20,おもちゃ ロボット,6600,1,2416,21,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%81%8A%E4%B8%96%E8%A9%B1,%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88"
21,トランスフォーマー おもちゃ,6600,1,2416,32,http://takaratomymall.jp/shop/c/cTF/
22,ライガーゼロ,6600,1,2414,32,http://takaratomymall.jp/shop/g/g4904810073772/
23,ピカチュウ,550000,5,2153,34,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%9D%E3%82%B1%E3%83%83%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC,%E3%83%94%E3%82%AB%E3%83%81%E3%83%A5%E3%82%A6"
24,パウパトロール おもちゃ,27100,3,2151,24,http://takaratomymall.jp/shop/c/cPPatrol/
25,ポケなで,22200,3,2082,24,http://takaratomymall.jp/shop/g/g4904810958734/
26,ポケモングッズ,27100,3,2052,47,http://takaratomymall.jp/shop/c/cPokemon/
27,パウパトロール　スカイ,5400,1,2048,20,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%91%E3%82%A6%EF%BD%A5%E3%83%91%E3%83%88%E3%83%AD%E3%83%BC%E3%83%AB,%E3%82%B9%E3%82%AB%E3%82%A4"
28,パウパトロールすかい,5400,1,2048,23,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%91%E3%82%A6%EF%BD%A5%E3%83%91%E3%83%88%E3%83%AD%E3%83%BC%E3%83%AB,%E3%82%B9%E3%82%AB%E3%82%A4"
29,トミカのパトカー,5400,1,2048,22,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%83%91%E3%83%88%E3%82%AB%E3%83%BC"
30,パトカートミカ,5400,1,2048,23,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%83%91%E3%83%88%E3%82%AB%E3%83%BC"
31,神アート,4400,1,1935,18,http://takaratomymall.jp/shop/c/cDmGodart/
32,ウルトラザウルス,4400,1,1911,24,http://takaratomymall.jp/shop/g/g4904810957256/
33,モンコレ,33100,3,1872,20,http://takaratomymall.jp/shop/goods/search.aspx?category=PmMoncol&search=true
34,パウ パトロール スカイ,5400,1,1854,26,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%91%E3%82%A6%EF%BD%A5%E3%83%91%E3%83%88%E3%83%AD%E3%83%BC%E3%83%AB,%E3%82%B9%E3%82%AB%E3%82%A4"
35,トミカプレミアム,40500,3,1809,24,http://takaratomymall.jp/shop/c/cTmcPrem/
36,リカちゃん人形,40500,3,1809,47,http://takaratomymall.jp/shop/c/cLicca/
37,ブルーイ グッズ,5400,1,1797,22,http://takaratomymall.jp/shop/c/cBluey/
38,トミカ パトカー,5400,1,1797,21,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%83%91%E3%83%88%E3%82%AB%E3%83%BC"
39,トミカ 消防車,4400,1,1735,24,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E6%B6%88%E9%98%B2%E8%BB%8A"
40,可愛い プー さん,4400,1,1717,27,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84,%E3%81%8F%E3%81%BE%E3%81%AE%E3%83%97%E3%83%BC%E3%81%95%E3%82%93"
41,おもちゃ かわいい,4400,1,1660,21,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84,%E3%81%8A%E3%82%82%E3%81%A1%E3%82%83%E5%A4%A7%E8%B3%9E"
42,アニア,33100,2,1651,32,http://takaratomymall.jp/shop/c/cAnia/
43,プレミアムトミカ,40500,2,1584,35,http://takaratomymall.jp/shop/c/cTmcPrem/
44,トミカプレミアムレーシング,3600,1,1403,23,http://takaratomymall.jp/shop/goods/search.aspx?keyword=�g�~�J�v���~�A��Racing&search=x&sort=rd
45,マイクロペット,18100,2,1392,23,http://takaratomymall.jp/shop/c/cMicroPet/
46,ピカチュー ぬいぐるみ,18100,3,1355,26,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%94%E3%82%AB%E3%83%81%E3%83%A5%E3%82%A6,%E3%81%AC%E3%81%84%E3%81%90%E3%82%8B%E3%81%BF"
47,おかえり ピカチュウ1/1,3600,1,1352,20,http://takaratomymall.jp/shop/g/g8202606097181/
48,ドキドキ 強いデッキ 予約,3600,1,1284,26,http://takaratomymall.jp/shop/g/g8202607093749/
49,ドキドキ 強い デッキ 25の王道 予約,3600,1,1284,26,http://takaratomymall.jp/shop/g/g8202607093749/
50,リカ ちゃん ハウス,9900,2,1284,32,http://takaratomymall.jp/shop/goods/search.aspx?category=LCHouse&search=true
51,トミカ バス,3600,1,1278,20,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%83%90%E3%82%B9"
52,トイストーリー おもちゃ,12100,2,1267,38,http://takaratomymall.jp/shop/c/cToystory/
53,おもちゃ,201000,5,1265,59,http://takaratomymall.jp/shop/
54,ポケモンのピカチュウ,27100,3,1256,25,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%9D%E3%82%B1%E3%83%83%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC,%E3%83%94%E3%82%AB%E3%83%81%E3%83%A5%E3%82%A6"
55,キャラクター マスコット,14800,2,1251,16,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%9E%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88,%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84"
56,リカちゃん ハウス,9900,2,1231,32,http://takaratomymall.jp/shop/goods/search.aspx?category=LCHouse&search=true
57,トミカプレミアム レーシング,3600,1,1227,20,http://takaratomymall.jp/shop/goods/search.aspx?keyword=�g�~�J�v���~�A��Racing&search=x&sort=rd
58,カーズ トミカ,9900,2,1209,43,http://takaratomymall.jp/shop/c/cTmcCars/
59,トミカ の バス,3600,1,1209,20,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%83%90%E3%82%B9"
60,tomica,9900,2,1196,41,http://takaratomymall.jp/shop/c/cTomica/
61,リカちゃんハウス,9900,2,1181,32,http://takaratomymall.jp/shop/goods/search.aspx?category=LCHouse&search=true
62,消防車のおもちゃ,2900,1,1130,27,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E6%B6%88%E9%98%B2%E8%BB%8A"
63,ケーニッヒケルベロス,2900,1,1130,26,http://takaratomymall.jp/shop/g/g4904810087717/
64,リカちゃんのハウス,9900,2,1127,20,http://takaratomymall.jp/shop/goods/search.aspx?category=LCHouse&search=true
65,エイリアン トイ ストーリー,8100,2,1087,22,http://takaratomymall.jp/shop/g/g4904810080800/
66,トイ ストーリー おもちゃ,8100,2,1087,39,http://takaratomymall.jp/shop/c/cToystory/
67,103 系 プラレール,2900,1,1058,22,http://takaratomymall.jp/shop/g/g4904810084983/
68,人生 ゲーム,49500,2,1057,42,http://takaratomymall.jp/shop/c/cJinsei/
69,トミカレッカー車,2400,1,1054,26,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%83%AC%E3%83%83%E3%82%AB%E3%83%BC%E8%BB%8A"
70,貨物列車のプラレール,2400,1,1054,23,http://takaratomymall.jp/shop/c/cPlaTrKa/
71,ベイブレードせっと,2900,1,1037,22,http://takaratomymall.jp/shop/c/cBeyXSet/
72,gtrトミカ,2900,1,1037,20,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=GT-R,%E3%83%88%E3%83%9F%E3%82%AB"
73,トミカのセット,2900,1,1037,32,http://takaratomymall.jp/shop/c/cTmcGift/
74,ベイブレードxレアベイ,2900,1,1037,21,http://takaratomymall.jp/shop/g/g4904810077398/
75,ベイブレードセット,2900,1,1037,24,http://takaratomymall.jp/shop/c/cBeyXSet/
76,トイストーリー エイリアン,8100,2,1030,33,http://takaratomymall.jp/shop/g/g4904810080800/
77,トイストーリー ウッディー,8100,2,1030,39,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%82%A4%E3%83%BB%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC,%E3%82%A6%E3%83%83%E3%83%87%E3%82%A3"
78,クロミ スマホ,8100,2,1011,26,http://takaratomymall.jp/shop/g/g4904810958000/
79,ピカチュウ かわいい,8100,2,1011,26,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84,%E3%83%94%E3%82%AB%E3%83%81%E3%83%A5%E3%82%A6"
80,tomix,49500,3,979,30,http://takaratomymall.jp/shop/c/cngauge/
81,ぷちリカちゃん サンリオ,2900,1,971,25,http://takaratomymall.jp/shop/g/g8000000207560/
82,おもちゃ 消防車,2900,1,971,27,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E6%B6%88%E9%98%B2%E8%BB%8A"
83,ベイブレード xセット,2900,1,971,23,http://takaratomymall.jp/shop/c/cBeyXSet/
84,ベイブレードx レアベイ,2900,1,971,21,http://takaratomymall.jp/shop/g/g4904810077398/
85,レックウザ 流しそうめん,2900,1,971,23,http://takaratomymall.jp/shop/g/g4904790765667/
86,消防車 おもちゃ,2900,1,971,27,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E6%B6%88%E9%98%B2%E8%BB%8A"
87,スーパーアンビュランス トミカ,2900,1,971,22,http://takaratomymall.jp/shop/g/g4904810270072/
88,ベイブレードx セット,2900,1,971,23,http://takaratomymall.jp/shop/c/cBeyXSet/
89,スープラトミカ,2400,1,962,22,"http://takaratomymall.jp/shop/goods/goods_recommendation.aspx?page=1&tags=%E3%83%88%E3%83%9F%E3%82%AB,%E3%82%B9%E3%83%BC%E3%83%97%E3%83%A9"
90,プラレール貨物列車,2400,1,962,20,http://takaratomymall.jp/shop/c/cPlaTrKa/
