No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,ボーネルンド,60500,1,14923,52,http://bornelund.co.jp/
2,uniqlo park,8100,1,3518,16,http://bornelund.co.jp/results/commercial-facilities/5699.html
3,あそび の もり,5400,1,2069,29,http://bornelund.co.jp/asobi-no-mori
4,あそびのもり,4400,1,1940,19,http://bornelund.co.jp/asobi-no-mori
5,ボーネルンド の おもちゃ,8100,2,1105,35,http://bornelund.co.jp/
6,ユニクロ パーク,3600,1,1029,31,http://bornelund.co.jp/results/commercial-facilities/5699.html
7,ルーピング,2400,1,962,12,http://bornelund.co.jp/saitamashintoshin/blog/3867/
8,ボーネルンド 本店,2400,1,794,37,http://bornelund.co.jp/honten/
9,砂場,40500,4,773,26,http://bornelund.co.jp/asobi-no-mori/study/1600.html
10,ボーネルンド本店,1900,1,763,37,http://bornelund.co.jp/honten/
11,ボーネルンドたまプラーザ,1600,1,582,18,http://bornelund.co.jp/tamaplaza-terrace/
12,ルーピング おもちゃ,1300,1,533,11,http://bornelund.co.jp/saitamashintoshin/blog/3867/
13,たまプラーザ ボーネルンド,1600,1,530,17,http://bornelund.co.jp/tamaplaza-terrace/
14,ルーピングおもちゃ,1300,1,520,11,http://bornelund.co.jp/saitamashintoshin/blog/3867/
15,エアトラック,1300,1,520,17,http://bornelund.co.jp/products/airtrack_factory
16,パルクール,40500,4,493,26,http://bornelund.co.jp/page/parkour_2012
17,ボーネルンド 武蔵村山,1000,1,477,18,http://bornelund.co.jp/musashimurayama/
18,ボーネルンド ルーピング,1000,1,464,18,http://bornelund.co.jp/saitamashintoshin/blog/3867/
19,ボーネルンド店舗,1300,1,461,40,http://bornelund.co.jp/shop
20,ボールネンド,1300,1,461,47,http://bornelund.co.jp/
21,ボーネルンド 川崎,1300,1,439,35,http://bornelund.co.jp/kawasaki/
22,ボーネルンド 店舗,1300,1,406,40,http://bornelund.co.jp/shop
23,ボーネルンド有明,1000,1,393,19,http://bornelund.co.jp/ariake/
24,ボーネルンド 有明,1000,1,388,26,http://bornelund.co.jp/ariake/
25,砂場遊び,880,1,328,19,http://bornelund.co.jp/asobi-no-mori/study/1600.html
