No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,トイザらス,550000,1,267399,52,http://toysrus.co.jp/ja-jp/
2,トイザらス オンライン,49500,1,14246,20,http://toysrus.co.jp/ja-jp/
3,おもちゃ　店,40500,1,12596,26,http://toysrus.co.jp/ja-jp/
4,おもちゃ,201000,3,11759,59,http://toysrus.co.jp/ja-jp/
5,誕生日 2歳 プレゼント,27100,1,7958,17,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-2/
6,誕生日2歳 プレゼント,27100,1,7882,17,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-2/
7,おもちゃの アンパンマン,60500,2,7561,41,http://toysrus.co.jp/ja-jp/anpanman/
8,おもちゃ屋,60500,2,7541,19,http://toysrus.co.jp/ja-jp/stores/
9,トイザらス ブラックフライデー,22200,1,7500,35,http://toysrus.co.jp/ja-jp/promotions/blackfriday-toy/
10,トイザらス店舗,18100,1,6846,36,http://toysrus.co.jp/ja-jp/stores/
11,トイザらスの店舗,18100,1,6846,36,http://toysrus.co.jp/ja-jp/stores/
12,トイザらス の店舗,18100,1,6797,34,http://toysrus.co.jp/ja-jp/stores/
13,トイザらス 店舗,18100,1,6718,34,http://toysrus.co.jp/ja-jp/stores/
14,誕生日 3歳 プレゼント,14800,1,5068,19,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-3/
15,たまごっちパラダイス 予約,14800,1,4995,23,http://toysrus.co.jp/ja-jp/8291993-10141500.html
16,誕生日プレゼント4歳,9900,1,4957,18,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
17,誕生日 4歳 プレゼント,9900,1,4912,18,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
18,誕生日 プレゼント 4歳,9900,1,4912,23,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
19,トイザらス 近く,9900,1,4839,27,http://toysrus.co.jp/ja-jp/stores/
20,4歳の誕生日 プレゼント,9900,1,4839,20,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
21,4歳誕生日 プレゼント,9900,1,4839,23,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
22,4歳 誕生日プレゼント,9900,1,4839,20,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
23,誕生日プレゼント 4歳,9900,1,4839,20,http://toysrus.co.jp/ja-jp/promotions/birthday-present/age-4-5/
24,近くのトイザらス,9900,1,4699,35,http://toysrus.co.jp/ja-jp/stores/
25,トイザらス近く,9900,1,4699,36,http://toysrus.co.jp/ja-jp/stores/
26,近く の トイザらス,9900,1,4654,18,http://toysrus.co.jp/ja-jp/stores/
27,トイザらス switch2,8100,1,4361,21,http://toysrus.co.jp/ja-jp/nintendo-switch-2/
